AddressID,AddressLine1,AddressLine2,City,StateProvince,CountryRegion,PostalCode,ModifiedDate
481,65 Gamelin Street,NULL,Hull,Quebec,Canada,8Y,2006-08-01 00:00:00.000
482,2500 University Avenue,NULL,Toronto,Ontario,Canada,M4B 1V5,2005-07-01 00:00:00.000
483,955 Green Valley Crescent,NULL,Ottawa,Ontario,Canada,K4B 1S1,2007-09-01 00:00:00.000
484,2510 Crew Court,NULL,Montreal,Quebec,Canada,H1Y 2H8,2008-06-01 00:00:00.000
485,"9900-6400 Boul, Taschereau",NULL,Brossard,Quebec,Canada,J4Z 1R4,2006-07-01 00:00:00.000
486,600 Boul. Rene-levesque Ouest,NULL,Montreal,Quebec,Canada,H1Y 2H7,2006-07-01 00:00:00.000
487,9259 - 1110th Avenue Sw,NULL,Calgary,Alberta,Canada,T2P 2G8,2006-09-01 00:00:00.000
488,45259 Canada Way,NULL,Burnaby,British Columbia,Canada,V5G 4S4,2007-08-01 00:00:00.000
489,9960 King Street E.,NULL,Toronto,Ontario,Canada,M4B 1V5,2007-08-01 00:00:00.000
490,9979 Bayview Drive,NULL,Barrie,Ontario,Canada,L4N,2006-08-01 00:00:00.000
491,20225 Lansing Ave,NULL,Montreal,Quebec,Canada,H1Y 2H7,2007-09-01 00:00:00.000
492,"99954 Boul. Laurier, Local 060, Place",NULL,Sainte-Foy,Quebec,Canada,G1W,2007-09-01 00:00:00.000
493,6th Floor 5250 Main Street,NULL,Winnipeg,Manitoba,Canada,R3,2007-09-01 00:00:00.000
494,Box 99354 300 Union Street,NULL,Saint John,Brunswick,Canada,E2P 1E3,2006-07-01 00:00:00.000
495,Suite 800 2530 Slater Street,NULL,Ottawa,Ontario,Canada,K4B 1T7,2006-09-01 00:00:00.000
496,Suite 500 995 W. 11th Avenue,NULL,Mississauga,Ontario,Canada,L5A 1H6,2007-08-01 00:00:00.000
497,#9900 2700 Production Way,NULL,Burnaby,British Columbia,Canada,V5A 4X1,2005-08-01 00:00:00.000
498,25537 Hillside Avenue,NULL,Victoria,British Columbia,Canada,V8V,2005-08-01 00:00:00.000
499,Suite 2502 410 Albert Street,NULL,Waterloo,Ontario,Canada,N2V,2006-08-01 00:00:00.000
500,5700 Explorer Drive,NULL,Mississauga,Ontario,Canada,L4W 5J3,2005-08-01 00:00:00.000
501,965 De La Gauchetiere West,NULL,Montreal,Quebec,Canada,H1Y 2H8,2005-08-01 00:00:00.000
502,No. 25400 10665 Jasper Avenue,NULL,Edmonton,Alberta,Canada,T5,2006-08-01 00:00:00.000
503,P.O. Box 44000,NULL,Winnipeg,Manitoba,Canada,R3,2005-08-01 00:00:00.000
504,Suite 99320 255 - 510th Avenue S.W.,NULL,Calgary,Alberta,Canada,T2P 2G8,2005-08-01 00:00:00.000
505,"6400, 888 - 3rd Avenue",NULL,Calgary,Alberta,Canada,T2P 2G8,2005-08-01 00:00:00.000
506,255117 - 101 Avenue,NULL,Surrey,British Columbia,Canada,V3T 4W3,2005-08-01 00:00:00.000
507,975 Princess Street,NULL,Kingston,Ontario,Canada,7L,2007-09-01 00:00:00.000
508,2900 - 25055 Dunning Street,NULL,Vancouver,British Columbia,Canada,V7L 4J4,2006-12-01 00:00:00.000
509,Suite 25800 3401 - 10810th Avenue,NULL,Surrey,British Columbia,Canada,V3T 4W3,2005-08-01 00:00:00.000
510,750 Philip Street,NULL,Waterloo,Ontario,Canada,N2V,2005-11-01 00:00:00.000
511,"Bureau 9900 825, Avenue Querbes",NULL,Outremont,Quebec,Canada,H1Y 2G5,2006-12-01 00:00:00.000
512,700 Bureau Road,NULL,Montreal,Quebec,Canada,H1Y 2H7,2007-09-01 00:00:00.000
513,"253711 Mayfield Place, Unit 150",NULL,Richmond,British Columbia,Canada,V6B 3P7,2007-09-01 00:00:00.000
514,63 West Beaver Creek,NULL,Richmond Hill,Ontario,Canada,L4E 3M5,2006-09-01 00:00:00.000
515,9900 Ronson Drive,NULL,Etobicoke,Ontario,Canada,M9W 3P3,2006-07-01 00:00:00.000
516,251 Indell Lane,NULL,Brampton,Ontario,Canada,L6W 2T7,2006-08-01 00:00:00.000
517,2573 Dufferin Street,NULL,Toronto,Ontario,Canada,M4B 1V5,2005-07-01 00:00:00.000
518,995 Crescent,NULL,Richmond Hill,Ontario,Canada,L4E 3M5,2007-09-01 00:00:00.000
519,2500-622 5th Ave Sw,NULL,Calgary,Alberta,Canada,T2P 2G8,2006-08-01 00:00:00.000
520,6700 Boul Taschereau,NULL,Brossard,Quebec,Canada,J4Z 1C5,2005-09-01 00:00:00.000
521,55 Standish Court,NULL,Mississauga,Ontario,Canada,L5B 3V4,2006-09-01 00:00:00.000
522,"43251 Viking Way, Unit 130",NULL,Richmond,British Columbia,Canada,V6B 3P7,2007-02-01 00:00:00.000
523,46990 Viking Way,NULL,Richmond,British Columbia,Canada,V6B 3P7,2005-08-01 00:00:00.000
524,9693 Louis H Lafontaine,NULL,Ville De'anjou,Quebec,Canada,J1G 2R3,2006-08-01 00:00:00.000
525,69251 Creditview Road,NULL,Mississauga,Ontario,Canada,L5B 3V4,2005-07-01 00:00:00.000
526,251420a 170th Street,NULL,Edmonton,Alberta,Canada,T5,2006-07-01 00:00:00.000
527,252851 Rowan Place,NULL,Richmond,British Columbia,Canada,V6B 3P7,2006-09-01 00:00:00.000
528,5990 Avebury Road,NULL,Mississauga,Ontario,Canada,L5B 3V4,2005-09-01 00:00:00.000
529,254480 River Rd,NULL,Richmond,British Columbia,Canada,V6B 3P7,2005-07-01 00:00:00.000
530,Suite #9902,NULL,North York,Ontario,Canada,M4C 4K6,2005-07-01 00:00:00.000
531,"5th Floor, 79 Place D'armes",NULL,Kingston,Ontario,Canada,7L,2006-11-01 00:00:00.000
532,#500-75 O'Connor Street,NULL,Ottawa,Ontario,Canada,K4B 1S2,2005-12-01 00:00:00.000
533,4400 March Road,NULL,Kanata,Ontario,Canada,K2L 1H5,2005-11-01 00:00:00.000
534,Depot 80,NULL,Sillery,Quebec,Canada,G1T,2005-08-01 00:00:00.000
535,250 Kingsbridge Garden Circle,NULL,Mississauga,Ontario,Canada,L5B 3V4,2005-11-01 00:00:00.000
536,No. 2000-25080 Beaver Hall Hill,NULL,Quebec,Quebec,Canada,G1R,2006-09-01 00:00:00.000
537,No. 25800-130 King Street West,NULL,Toronto,Ontario,Canada,M4B 1V5,2005-09-01 00:00:00.000
538,25 Danger Street West,Floor 7,Toronto,Ontario,Canada,M4B 1V5,2007-08-01 00:00:00.000
539,"6th Floor, 25st Canadian Place",NULL,Toronto,Ontario,Canada,M4B 1V5,2005-08-01 00:00:00.000
540,254 Colonnade Road,NULL,Nepean,Ontario,Canada,K2J 2W5,2005-08-01 00:00:00.000
541,25981 College Street,NULL,Montreal,Quebec,Canada,H1Y 2H5,2006-08-01 00:00:00.000
542,5 place Ville-Marie,NULL,Montreal,Quebec,Canada,H1Y 2H7,2006-09-01 00:00:00.000
543,6030 Conroy Road,NULL,Ottawa,Ontario,Canada,K4B 1S3,2006-09-01 00:00:00.000
544,"30025 Wayburne Drive, Suite 275",NULL,Burnaby,British Columbia,Canada,V5G 4W1,2005-09-01 00:00:00.000
545,999 West Georgia St.,NULL,Vancouver,Ontario,Canada,V5T 1Y9,2006-09-01 00:00:00.000
546,"250333 Southport Road, S.W.",NULL,Calgary,Alberta,Canada,T2P 2G8,2007-08-01 00:00:00.000
547,7000 Victoria Park Avenue,NULL,Toronto,Ontario,Canada,M4B 1V4,2007-09-01 00:00:00.000
548,63 Free St.,NULL,Toronto,Ontario,Canada,M4B 1V4,2005-09-01 00:00:00.000
549,609 Evans Avenue,NULL,Toronto,Ontario,Canada,M4B 1V4,2006-09-01 00:00:00.000
550,2520 Flanders Road,NULL,Toronto,Ontario,Canada,M4B 1V4,2006-08-01 00:00:00.000
551,"32605 West 252 Mile Road, Suite 250",NULL,Aurora,Ontario,Canada,L4G 7N6,2006-09-01 00:00:00.000
552,"25730, boul. St-Régis",NULL,Dorval,Quebec,Canada,H9P 1H1,2008-06-01 00:00:00.000
553,"253131 Lake Frasier Drive, Office No. 2",NULL,Calgary,Alberta,Canada,T2P 2G8,2005-08-01 00:00:00.000
554,9984 Wellington Street,NULL,Ottawa,Ontario,Canada,K4B 1S2,2006-08-01 00:00:00.000
555,"9950 Ferrand Drive, 9th Floor",NULL,Toronto,Ontario,Canada,M4B 1V4,2005-09-01 00:00:00.000
556,990th Floor 700 De La GauchetiSre Ou,NULL,Montreal,Quebec,Canada,H1Y 2H3,2005-07-01 00:00:00.000
557,"660 Saint-Jacques, Bureau 400",NULL,Montreal,Quebec,Canada,H1Y 2H8,2006-09-01 00:00:00.000
558,"67255 - 8th Street N.E., Suite 350",NULL,Calgary,Alberta,Canada,T2P 2G8,2006-12-01 00:00:00.000
559,12345 Sterling Avenue,NULL,Irving,Texas,United States,75061,2005-09-01 00:00:00.000
560,800 Interchange Blvd.,Suite 2501,Austin,Texas,United States,78701,2006-07-01 00:00:00.000
561,90025 Sterling St,NULL,Irving,Texas,United States,75061,2006-09-01 00:00:00.000
562,2505 Gateway Drive,NULL,North Sioux City,South Dakota,United States,57049,2005-08-01 00:00:00.000
563,74400 France Avenue South,NULL,Edina,Minnesota,United States,55436,2006-09-01 00:00:00.000
564,509 Nafta Boulevard,NULL,Laredo,Texas,United States,78040,2005-08-01 00:00:00.000
565,25149 Howard Dr,NULL,West Chicago,Illinois,United States,60185,2005-09-01 00:00:00.000
566,63 W Monroe,NULL,Chicago,Illinois,United States,60610,2005-11-01 00:00:00.000
567,Corporate Office,NULL,Garland,Texas,United States,75040,2005-09-01 00:00:00.000
568,25269 N. Wood Dale Rd,NULL,Wood Dale,Illinois,United States,60191,2005-09-01 00:00:00.000
569,Sapp Road West,NULL,Round Rock,Texas,United States,78664,2005-09-01 00:00:00.000
570,52500 Liberty Way,NULL,Fort Worth,Texas,United States,76102,2006-07-01 00:00:00.000
571,25550 Executive Dr,NULL,Elgin,Illinois,United States,60120,2005-12-01 00:00:00.000
572,P.O. Box 6256916,NULL,Dallas,Texas,United States,75201,2007-09-01 00:00:00.000
573,25269 Wood Dale Rd.,NULL,Wood Dale,Illinois,United States,60191,2005-11-01 00:00:00.000
574,Po Box 8259024,NULL,Dallas,Texas,United States,75201,2006-09-01 00:00:00.000
575,42500 W 76th St,NULL,Chicago,Illinois,United States,60610,2006-09-01 00:00:00.000
576,4255 East Lies Road,NULL,Carol Stream,Illinois,United States,60188,2005-11-01 00:00:00.000
577,2500 North Stemmons Freeway,NULL,Dallas,Texas,United States,75201,2006-09-01 00:00:00.000
578,220 Mercy Drive,NULL,Garland,Texas,United States,75040,2005-07-01 00:00:00.000
579,25 N State St,NULL,Chicago,Illinois,United States,60610,2006-07-01 00:00:00.000
580,2509 W. Frankford,NULL,Carrollton,Texas,United States,75006,2006-07-01 00:00:00.000
581,Po Box 8035996,NULL,Dallas,Texas,United States,75201,2007-09-01 00:00:00.000
582,5700 Legacy Dr,NULL,Plano,Texas,United States,75074,2007-09-01 00:00:00.000
583,625 W Jackson Blvd. Unit 2502,NULL,Chicago,Illinois,United States,60610,2007-03-01 00:00:00.000
584,250880 Baur Blvd,NULL,Saint Louis,Missouri,United States,63103,2007-07-01 00:00:00.000
585,Noah Lane,NULL,Chicago,Illinois,United States,60610,2006-08-01 00:00:00.000
586,6030 Robinson Road,NULL,Jefferson City,Missouri,United States,65101,2005-09-01 00:00:00.000
587,25500 Old Spanish Trail,NULL,Houston,Texas,United States,77003,2005-08-01 00:00:00.000
588,"99828 Routh Street, Suite 825",NULL,Dallas,Texas,United States,75201,2005-08-01 00:00:00.000
589,"One Dancing, Rr No. 25",Box 8033,Round Rock,Texas,United States,78664,2005-09-01 00:00:00.000
590,9995 West Central Entrance,NULL,Duluth,Minnesota,United States,55802,2006-07-01 00:00:00.000
591,48255 I-10 E. @ Eastpoint Blvd.,NULL,Baytown,Texas,United States,77520,2006-09-01 00:00:00.000
592,9903 Highway 6 South,NULL,Houston,Texas,United States,77003,2005-07-01 00:00:00.000
593,2345 North Freeway,NULL,Houston,Texas,United States,77003,2005-08-01 00:00:00.000
594,123 W. Lake Ave.,NULL,Peoria,Illinois,United States,61606,2006-08-01 00:00:00.000
595,660 Lindbergh,NULL,Saint Louis,Missouri,United States,63103,2006-09-01 00:00:00.000
596,72540 Blanco Rd.,NULL,San Antonio,Texas,United States,78204,2005-08-01 00:00:00.000
597,99450 Highway 59 North,NULL,Humble,Texas,United States,77338,2006-08-01 00:00:00.000
598,455 256th St.,NULL,Moline,Illinois,United States,61265,2005-08-01 00:00:00.000
599,70 N.W. Plaza,NULL,Saint Ann,Missouri,United States,63074,2007-08-01 00:00:00.000
600,25095 W. Florissant,NULL,Ferguson,Missouri,United States,63135,2005-08-01 00:00:00.000
601,6996 South Lindbergh,NULL,Saint Louis,Missouri,United States,63103,2006-08-01 00:00:00.000
602,6425 Nw Loop 410,NULL,San Antonio,Texas,United States,78204,2006-09-01 00:00:00.000
603,9500b E. Central Texas Expressway,NULL,Killeen,Texas,United States,76541,2007-08-01 00:00:00.000
604,1200 First Ave.,NULL,Joliet,Illinois,United States,60433,2007-09-01 00:00:00.000
605,7760 N. Pan Am Expwy,NULL,San Antonio,Texas,United States,78204,2005-09-01 00:00:00.000
606,99433 S. Greenbay Rd.,NULL,Racine,Wisconsin,United States,53182,2005-09-01 00:00:00.000
607,25220 Airline Road,NULL,Corpus Christi,Texas,United States,78404,2006-08-01 00:00:00.000
608,25306 Harvey Rd.,NULL,College Station,Texas,United States,77840,2006-08-01 00:00:00.000
609,3900 S. 997th St.,NULL,Milwaukee,Wisconsin,United States,53202,2005-09-01 00:00:00.000
610,44025 W. Empire,NULL,Denby,South Dakota,United States,57716,2007-09-01 00:00:00.000
611,23025 S.W. Military Rd.,NULL,San Antonio,Texas,United States,78204,2005-08-01 00:00:00.000
612,Ring Plaza,NULL,Norridge,Illinois,United States,60706,2006-09-01 00:00:00.000
613,Lakeline Mall,NULL,Cedar Park,Texas,United States,78613,2006-09-01 00:00:00.000
614,Town East Center,NULL,Mesquite,Texas,United States,75149,2006-09-01 00:00:00.000
615,Fountains On The Lake,NULL,Stafford,Texas,United States,77477,2005-07-01 00:00:00.000
616,Southwest Outlet,NULL,Hillsboro,Texas,United States,76645,2005-07-01 00:00:00.000
617,Johnson Creek,NULL,Johnson Creek,Wisconsin,United States,53038,2007-06-01 00:00:00.000
618,Blue Ridge Mall,NULL,Kansas City,Missouri,United States,64106,2006-12-01 00:00:00.000
619,First Colony Mall,NULL,Sugar Land,Texas,United States,77478,2005-12-01 00:00:00.000
620,Horizon Outlet,NULL,Woodbury,Minnesota,United States,55125,2005-09-01 00:00:00.000
621,Tanger Factory,NULL,Branch,Minnesota,United States,55056,2005-09-01 00:00:00.000
622,Management Mall,NULL,San Antonio,Texas,United States,78204,2006-03-01 00:00:00.000
623,Ohms Road,NULL,Houston,Texas,United States,77003,2007-07-01 00:00:00.000
624,Factory Merchants,NULL,Branson,Missouri,United States,65616,2007-02-01 00:00:00.000
625,Cedar Creek Stores,NULL,Mosinee,Wisconsin,United States,54455,2007-08-01 00:00:00.000
626,Lone Star Factory,NULL,La Marque,Texas,United States,77568,2007-08-01 00:00:00.000
627,Sports Stores @ Tuscola,NULL,Tuscola,Illinois,United States,61953,2006-07-01 00:00:00.000
628,City Center,NULL,Minneapolis,Minnesota,United States,55402,2005-08-01 00:00:00.000
629,St. Louis Marketplace,NULL,Saint Louis,Missouri,United States,63103,2005-07-01 00:00:00.000
630,Lincoln Square,NULL,Arlington,Texas,United States,76010,2005-09-01 00:00:00.000
631,Kansas City Factory Outlet,NULL,Odessa,Missouri,United States,64076,2005-07-01 00:00:00.000
632,Fiesta Trail Shopping Center,NULL,San Antonio,Texas,United States,78204,2005-07-01 00:00:00.000
633,Medford Outlet Center,NULL,Medford,Minnesota,United States,55049,2006-08-01 00:00:00.000
634,Ward Parkway Center,NULL,Kansas City,Missouri,United States,64106,2006-09-01 00:00:00.000
635,"93-2501, Blackfriars Road,",NULL,London,England,United Kingdom,SE1 8HL,2006-09-01 00:00:00.000
636,"Science Park South, Birchwood",Stanford House,Warrington,England,United Kingdom,WA3 7BH,2007-07-01 00:00:00.000
637,"Phoenix Way, Cirencester",NULL,Gloucestershire,England,United Kingdom,GL7 1RY,2007-09-01 00:00:00.000
638,255 Irving Street,NULL,London,England,United Kingdom,C2H 7AU,2007-08-01 00:00:00.000
639,"Garamonde Drive, Wymbush",PO Box 4023,Milton Keynes,England,United Kingdom,MK8 8ZD,2007-09-01 00:00:00.000
640,251 The Metro Center,NULL,Wokingham,England,United Kingdom,RG41 1QW,2007-09-01 00:00:00.000
641,Bradford,NULL,W. York,England,United Kingdom,BD1 4SJ,2006-08-01 00:00:00.000
642,Galashiels,NULL,Liverpool,England,United Kingdom,L4 4HB,2007-09-01 00:00:00.000
643,Banbury,NULL,Oxon,England,United Kingdom,OX16 8RS,2006-09-01 00:00:00.000
644,Bradford,"Raven House, Kingsgate",W. York,England,United Kingdom,BD1 4SJ,2007-08-01 00:00:00.000
645,"Garamonde Drive, Wymbush",P.O. Box 803,Milton Keynes,England,United Kingdom,MK8 8ZD,2007-07-01 00:00:00.000
646,"Butterfield Hse, 7-251 Chapel St",NULL,Lancaster,England,United Kingdom,LA1 1LN,2006-08-01 00:00:00.000
647,Wade Road,NULL,Basingstoke Hants,England,United Kingdom,RG24 8PL,2007-07-01 00:00:00.000
648,"586 Fulham Road,",NULL,London,England,United Kingdom,SW6 SBY,2007-08-01 00:00:00.000
649,Knaves Beech Ind.,NULL,High Wycombe,England,United Kingdom,HP10 9QY,2007-09-01 00:00:00.000
650,"Elmhurst Road, Goring",NULL,Reading,England,United Kingdom,RG7 5H7,2006-07-01 00:00:00.000
651,"New Millhouse, 2583 Milton Park",NULL,Abingdon,England,United Kingdom,OX14 4SE,2007-09-01 00:00:00.000
652,Wymbush,NULL,Milton Keynes,England,United Kingdom,MK8 8DF,2006-09-01 00:00:00.000
653,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,2006-09-01 00:00:00.000
654,308-3250 Casting Road,NULL,York,England,United Kingdom,Y024 1GF,2007-08-01 00:00:00.000
655,Wharfdale Road,NULL,Berkshire,England,United Kingdom,RG11 5TP,2006-08-01 00:00:00.000
656,7 Pioneer Business Park,NULL,York,England,United Kingdom,Y03 4TN,2007-08-01 00:00:00.000
657,Unit 99a Battery Retail Pk,NULL,Birmingham,England,United Kingdom,B29 6SL,2006-08-01 00:00:00.000
658,Ellesfield Ave,NULL,Bracknell,England,United Kingdom,RG12 8TB,2006-08-01 00:00:00.000
659,Warrington Ldc Unit 25/2,NULL,Woolston,England,United Kingdom,WA1 4SY,2007-09-01 00:00:00.000
660,"6 The Farm, Liberty Road",NULL,Maidenhead,England,United Kingdom,SL67RJ,2007-09-01 00:00:00.000
661,725a The Arches,NULL,Berks,England,United Kingdom,SL4 1RH,2006-08-01 00:00:00.000
662,Paramount House,NULL,London,England,United Kingdom,W1N 9FA,2006-09-01 00:00:00.000
663,2524 Barlby Road,NULL,London,England,United Kingdom,W10 6BL,2007-08-01 00:00:00.000
664,99-3 Forest Works,NULL,London,England,United Kingdom,E17 6JF,2006-07-01 00:00:00.000
665,46-44 Albemarle Street,NULL,London,England,United Kingdom,W1X3SE,2007-08-01 00:00:00.000
666,399 Clearing Green,NULL,London,England,United Kingdom,EC1R 0DU,2006-08-01 00:00:00.000
667,997b Tradescant Road,NULL,London,England,United Kingdom,SW8 1XD,2006-08-01 00:00:00.000
668,2574 Milton Park,NULL,Oxford,England,United Kingdom,OX14 4SE,2007-08-01 00:00:00.000
669,"Internet House, 3399 Science Park",NULL,Cambridge,England,United Kingdom,CB4 4BZ,2006-12-01 00:00:00.000
670,"7 Garden House Cloisters, 8 Batters",NULL,London,England,United Kingdom,SW8 4BG,2006-07-01 00:00:00.000
671,"25 Hartfield Road, Wimbledon",NULL,London,England,United Kingdom,SW19 3RU,2008-02-01 00:00:00.000
672,"99 Dean Street, Soho",NULL,London,England,United Kingdom,W1V 5RN,2006-09-01 00:00:00.000
673,"Park House-4th Floor, 2516 Park St.",NULL,London,England,United Kingdom,W1Y 3RA,2006-08-01 00:00:00.000
674,"67 Vincent Square, Victoria",NULL,London,England,United Kingdom,SW1P 2NU,2007-09-01 00:00:00.000
756,855 East Main Avenue,NULL,Zeeland,Michigan,United States,49464,2005-08-01 00:00:00.000
774,9920 North Telegraph Rd.,NULL,Pontiac,Michigan,United States,48342,2005-09-01 00:00:00.000
775,46460 West Oaks Drive,NULL,Novi,Michigan,United States,48375,2006-09-01 00:00:00.000
776,997000 Telegraph Rd.,NULL,Southfield,Michigan,United States,48034,2005-11-01 00:00:00.000
785,399700 John R. Rd.,NULL,Madison Heights,Michigan,United States,48071,2005-08-01 00:00:00.000
786,6789 Warren Road,NULL,Westland,Michigan,United States,48185,2006-12-01 00:00:00.000
788,2533 Eureka Rd.,NULL,Southgate,Michigan,United States,48195,2006-09-01 00:00:00.000
789,250000 Eight Mile Road,NULL,Detroit,Michigan,United States,48226,2006-08-01 00:00:00.000
794,998 Forest Road,NULL,Saginaw,Michigan,United States,48601,2007-08-01 00:00:00.000
795,99800 Tittabawasee Rd.,NULL,Saginaw,Michigan,United States,48601,2006-08-01 00:00:00.000
797,678 Eastman Ave.,NULL,Midland,Michigan,United States,48640,2006-09-01 00:00:00.000
801,Horizon Outlet Center,NULL,Holland,Michigan,United States,49423,2005-07-01 00:00:00.000
806,Horizon Outlet Center,NULL,Monroe,Michigan,United States,98272,2006-08-01 00:00:00.000
810,Redford Plaza,NULL,Redford,Michigan,United States,48239,2005-07-01 00:00:00.000
825,Port Huron,NULL,Port Huron,Michigan,United States,48060,2005-10-01 00:00:00.000
826,Kensington Valley Shops,NULL,Howell,Michigan,United States,48843,2006-07-01 00:00:00.000
832,2251 Elliot Avenue,NULL,Seattle,Washington,United States,98104,2005-08-01 00:00:00.000
833,3207 S Grady Way,NULL,Renton,Washington,United States,98055,2006-08-01 00:00:00.000
834,99300 223rd Southeast,NULL,Bothell,Washington,United States,98011,2007-04-01 00:00:00.000
835,259826 Russell Rd. South,NULL,Kent,Washington,United States,98031,2005-09-01 00:00:00.000
836,35525-9th Street Sw,NULL,Puyallup,Washington,United States,98371,2006-09-01 00:00:00.000
837,640 South 994th St. W.,NULL,Billings,Montana,United States,59101,2007-09-01 00:00:00.000
838,25300 Biddle Road,NULL,Medford,Oregon,United States,97504,2007-09-01 00:00:00.000
839,Gateway,NULL,Portland,Oregon,United States,97205,2006-08-01 00:00:00.000
840,Great Northwestern,NULL,North Bend,Washington,United States,98045,2005-08-01 00:00:00.000
841,Washington Square,NULL,Portland,Oregon,United States,97205,2005-11-01 00:00:00.000
842,258101 Nw Evergreen Parkway,NULL,Beaverton,Oregon,United States,97005,2005-09-01 00:00:00.000
843,253950 N.E. 178th Place,NULL,Woodinville,Washington,United States,98072,2005-09-01 00:00:00.000
844,755 Nw Grandstand,NULL,Issaquah,Washington,United States,98027,2007-09-01 00:00:00.000
